farm_id,state,crop,variety,planting_date,area_ha,expected_yield_t_ha,harvest_date,actual_yield_t_ha
FARM-046354,Niger,cocoa,COCOA-LOCAL,2024-05-09,6.01,0.41,2025-04-11,0.42
FARM-001652,Enugu,maize,MAIZE-V3,2023-06-18,1.09,2.32,2023-10-14,2.43
FARM-011198,Oyo,yam,YAM-V1,2022-03-17,0.88,10.52,2023-01-01,8.23
FARM-042677,FCT,groundnut,GROUNDNUT-LOCAL,2023-05-17,0.78,1.39,2023-09-08,1.87
FARM-012231,Benue,millet,MILLET-V3,2022-05-28,1.4,1.09,2022-08-30,1.26
FARM-009940,Gombe,cocoa,COCOA-V2,2022-09-27,2.17,0.47,2023-08-29,0.46
FARM-049349,Katsina,sorghum,SORGHUM-V3,2022-05-20,2.05,0.87,2022-09-05,0.76
FARM-022014,Oyo,cocoa,COCOA-V3,2022-08-05,3.79,0.46,2023-07-21,0.36
FARM-024390,Benue,yam,YAM-V2,2023-03-27,1.22,11.29,2023-11-19,8.71
FARM-013412,Plateau,cassava,CASSAVA-LOCAL,2023-06-13,1.33,9.65,2024-07-17,9.39
FARM-013035,Imo,groundnut,GROUNDNUT-V2,2024-05-07,1.14,1.58,2024-08-13,1.91
FARM-037509,Akwa Ibom,cassava,CASSAVA-V3,2023-02-23,1.59,12.17,2024-06-18,12.72
FARM-015061,Ogun,oil_palm,OIL_PALM-V1,2022-12-25,1.75,3.84,2023-04-04,3.19
FARM-040910,Oyo,cocoa,COCOA-LOCAL,2022-01-20,1.32,0.45,2022-08-24,0.58
FARM-010651,Jigawa,cassava,CASSAVA-V2,2024-03-05,4.66,5.56,2025-01-29,5.19
FARM-030762,Gombe,sorghum,SORGHUM-LOCAL,2023-06-12,1.33,1.34,2023-09-20,0.86
FARM-029425,Ogun,soybean,SOYBEAN-V3,2023-11-13,1.45,1.43,2024-02-13,2.09
FARM-027580,Akwa Ibom,sorghum,SORGHUM-LOCAL,2022-06-20,2.96,1.24,2022-10-08,0.64
FARM-005207,Kaduna,millet,MILLET-V3,2024-06-23,0.67,1.03,2024-10-18,1.12
FARM-005392,Yobe,millet,MILLET-LOCAL,2022-06-11,1.62,0.55,2022-10-07,0.3
FARM-007541,Ogun,sorghum,SORGHUM-V2,2022-06-03,2.49,1.55,2022-10-05,2.04
FARM-041631,Sokoto,maize,MAIZE-LOCAL,2024-05-07,0.79,1.88,2024-08-30,2.72
FARM-028645,Ondo,soybean,SOYBEAN-V1,2023-09-12,1.47,1.71,2024-01-09,1.43
FARM-045744,Jigawa,rice,RICE-V2,2024-06-08,1.03,2.01,2024-10-12,2.36
FARM-030890,Yobe,yam,YAM-V3,2023-04-25,1.33,4.22,2023-12-28,5.0
FARM-033967,FCT,millet,MILLET-V3,2022-07-09,0.98,1.03,2022-11-02,1.62
FARM-008655,Ondo,sorghum,SORGHUM-LOCAL,2024-06-04,0.57,1.6,2024-09-26,2.13
FARM-035986,Gombe,millet,MILLET-V2,2024-07-20,1.24,1.3,2024-11-02,1.64
FARM-048878,Enugu,cassava,CASSAVA-LOCAL,2024-05-19,0.69,10.79,2025-04-13,10.8
FARM-031141,Plateau,groundnut,GROUNDNUT-LOCAL,2024-07-14,1.18,1.45,2024-10-20,1.39
FARM-029103,Akwa Ibom,yam,YAM-V1,2023-03-22,0.62,13.27,2023-10-27,12.75
FARM-010492,Imo,soybean,SOYBEAN-V3,2024-12-25,0.44,1.65,2025-04-06,1.86
FARM-023086,Ekiti,groundnut,GROUNDNUT-LOCAL,2024-07-11,0.78,1.43,2024-10-18,1.7
FARM-036967,Nasarawa,groundnut,GROUNDNUT-V1,2022-07-13,2.52,1.34,2022-11-05,1.1
FARM-031062,Rivers,cassava,CASSAVA-V2,2024-09-02,0.95,11.59,2025-11-17,11.19
FARM-026700,Abia,rice,RICE-V2,2022-05-24,0.93,3.15,2022-10-03,2.56
FARM-027066,Gombe,cassava,CASSAVA-V2,2023-12-05,1.88,9.57,2024-10-13,5.36
FARM-008671,Kwara,soybean,SOYBEAN-V2,2023-10-10,0.79,1.72,2024-01-10,2.3
FARM-017714,Zamfara,soybean,SOYBEAN-V2,2022-07-01,0.16,1.03,2022-10-19,0.5
FARM-038599,Oyo,yam,YAM-V2,2023-03-26,0.43,13.77,2023-10-26,14.43
FARM-018529,Osun,soybean,SOYBEAN-LOCAL,2022-06-27,0.98,1.36,2022-10-04,1.45
FARM-002104,Bauchi,millet,MILLET-V1,2022-07-22,1.11,1.16,2022-10-31,1.78
FARM-035034,Gombe,yam,YAM-V3,2022-02-07,6.06,11.3,2022-09-26,13.66
FARM-010715,Ondo,cocoa,COCOA-V2,2022-05-17,1.16,0.38,2023-04-13,0.22
FARM-003568,Enugu,soybean,SOYBEAN-V3,2024-08-20,4.06,1.81,2024-12-14,1.82
FARM-038943,Katsina,yam,YAM-LOCAL,2024-03-06,0.5,8.49,2024-12-29,9.6
FARM-021249,Akwa Ibom,oil_palm,OIL_PALM-LOCAL,2022-03-18,0.89,3.98,2022-07-05,4.35
FARM-042035,Kwara,maize,MAIZE-LOCAL,2023-06-12,2.05,1.72,2023-09-16,2.11
FARM-046685,Kogi,cassava,CASSAVA-V1,2022-07-16,0.77,11.24,2023-08-02,11.02
FARM-012455,Nasarawa,millet,MILLET-V2,2022-06-25,7.32,1.12,2022-10-17,0.8
FARM-022648,Ogun,maize,MAIZE-V1,2022-11-10,1.58,2.48,2023-02-12,3.19
FARM-015352,Adamawa,millet,MILLET-V1,2024-06-14,0.6,0.95,2024-09-14,1.38
FARM-003338,Zamfara,cocoa,COCOA-V2,2022-03-04,0.81,0.25,2023-01-24,0.15
FARM-005825,Akwa Ibom,maize,MAIZE-V1,2024-11-20,4.6,1.9,2025-03-03,2.42
FARM-006928,FCT,oil_palm,OIL_PALM-V3,2023-06-21,2.22,3.9,2023-10-15,2.79
FARM-006560,Enugu,cocoa,COCOA-V1,2022-09-19,5.17,0.43,2023-04-25,0.59
FARM-015383,Kano,cocoa,COCOA-V3,2022-07-08,0.5,0.35,2023-03-02,0.24
FARM-018106,FCT,oil_palm,OIL_PALM-V1,2023-05-22,0.26,3.38,2023-09-11,2.42
FARM-006776,Kebbi,maize,MAIZE-V2,2023-04-04,1.87,1.47,2023-07-10,0.5
FARM-016387,Ondo,millet,MILLET-V2,2023-06-17,2.8,1.11,2023-09-20,0.74
FARM-001561,Nasarawa,oil_palm,OIL_PALM-V1,2023-02-18,3.41,3.68,2023-05-31,2.27
FARM-044568,Ebonyi,groundnut,GROUNDNUT-V2,2024-06-15,1.17,1.45,2024-10-05,1.41
FARM-025585,Nasarawa,sorghum,SORGHUM-V3,2022-05-27,0.49,1.59,2022-09-11,1.84
FARM-039255,Yobe,millet,MILLET-V1,2022-07-20,0.8,0.57,2022-11-10,0.3
FARM-038599,Edo,groundnut,GROUNDNUT-V1,2022-06-05,3.67,1.37,2022-09-18,1.12
FARM-002794,Niger,groundnut,GROUNDNUT-V2,2023-05-27,2.49,1.45,2023-08-27,1.05
FARM-033206,Kwara,rice,RICE-LOCAL,2022-06-12,2.33,3.0,2022-10-30,1.34
FARM-003338,Kogi,cassava,CASSAVA-V3,2024-06-25,1.16,9.85,2025-07-25,8.06
FARM-003294,Anambra,cassava,CASSAVA-V3,2023-07-10,4.14,8.48,2024-09-08,12.18
FARM-038287,Abia,soybean,SOYBEAN-LOCAL,2024-11-02,0.53,1.68,2025-02-11,2.53
FARM-033817,Kwara,millet,MILLET-V3,2022-05-01,2.23,1.04,2022-08-10,1.62
FARM-022834,Plateau,oil_palm,OIL_PALM-V3,2022-04-25,1.37,2.99,2022-07-26,4.17
FARM-031708,Kaduna,sorghum,SORGHUM-LOCAL,2023-06-06,1.36,1.35,2023-09-17,2.51
FARM-001071,Gombe,groundnut,GROUNDNUT-LOCAL,2022-05-21,1.63,1.23,2022-09-11,1.55
FARM-015542,Abia,sorghum,SORGHUM-V1,2022-05-06,0.82,1.74,2022-09-12,0.92
FARM-047157,Abia,cocoa,COCOA-LOCAL,2023-09-17,3.97,0.39,2024-06-27,0.24
FARM-028438,Enugu,millet,MILLET-V3,2023-06-06,0.38,1.28,2023-09-30,1.73
FARM-049173,Jigawa,maize,MAIZE-V2,2024-04-25,3.01,1.46,2024-08-14,1.96
FARM-006882,Yobe,millet,MILLET-V1,2023-05-26,7.51,0.44,2023-09-22,0.5
FARM-018653,Oyo,sorghum,SORGHUM-V1,2023-06-07,1.24,1.78,2023-09-15,1.78
FARM-018603,Lagos,rice,RICE-V1,2022-05-27,2.7,3.16,2022-10-12,4.29
FARM-025508,Akwa Ibom,yam,YAM-V3,2024-04-27,0.73,11.89,2025-02-13,7.96
FARM-023155,Kogi,oil_palm,OIL_PALM-V3,2022-08-23,1.71,4.03,2022-12-01,3.67
FARM-047141,Kwara,cassava,CASSAVA-V3,2024-08-15,0.22,9.79,2025-10-14,14.72
FARM-010679,Rivers,sorghum,SORGHUM-V1,2022-06-13,6.28,1.48,2022-09-23,0.7
FARM-038145,Benue,maize,MAIZE-V2,2022-04-16,3.37,1.7,2022-07-23,2.52
FARM-035798,Rivers,cocoa,COCOA-V3,2023-08-24,1.08,0.52,2024-05-10,0.38
FARM-022184,Ondo,millet,MILLET-V3,2022-07-11,2.72,1.55,2022-10-20,2.2
FARM-045633,Kaduna,soybean,SOYBEAN-V3,2022-11-20,0.59,1.66,2023-03-09,1.12
FARM-035115,Anambra,groundnut,GROUNDNUT-V3,2024-06-09,1.47,1.71,2024-10-02,1.73
FARM-018694,Ondo,maize,MAIZE-LOCAL,2024-10-06,1.83,2.52,2025-01-08,2.39
FARM-021927,Jigawa,rice,RICE-V1,2024-06-09,1.31,1.97,2024-11-04,1.1
FARM-041855,Niger,millet,MILLET-LOCAL,2024-06-05,1.24,1.15,2024-09-05,1.45
FARM-016057,Bauchi,groundnut,GROUNDNUT-V1,2023-07-22,2.06,1.55,2023-11-05,1.36
FARM-043140,Akwa Ibom,sorghum,SORGHUM-V1,2022-06-19,2.07,1.26,2022-09-27,1.31
FARM-024489,Nasarawa,millet,MILLET-V3,2024-06-11,3.74,0.97,2024-10-02,0.8
FARM-010540,Niger,oil_palm,OIL_PALM-V1,2024-10-15,1.67,4.0,2025-02-08,3.35
FARM-010029,Abia,yam,YAM-V3,2024-03-03,1.7,11.7,2024-11-01,9.69
FARM-046489,Oyo,maize,MAIZE-V1,2023-04-18,4.75,2.49,2023-08-06,3.1
FARM-039662,Bauchi,soybean,SOYBEAN-LOCAL,2022-04-10,2.04,1.39,2022-08-07,0.98
FARM-035039,Edo,sorghum,SORGHUM-V1,2022-07-04,2.48,1.8,2022-10-19,1.84
FARM-048961,Anambra,yam,YAM-V3,2024-02-09,1.12,12.57,2024-10-02,9.06
FARM-012816,Borno,yam,YAM-V1,2022-02-24,0.77,3.68,2022-10-02,5.0
FARM-038220,Abia,oil_palm,OIL_PALM-V1,2023-08-23,0.55,3.33,2023-12-15,3.93
FARM-046945,Anambra,oil_palm,OIL_PALM-V3,2024-06-28,1.14,3.44,2024-10-18,2.79
FARM-000660,Ogun,sorghum,SORGHUM-V1,2023-05-17,2.29,1.83,2023-09-21,1.99
FARM-025135,Cross River,rice,RICE-V3,2022-06-21,0.53,3.56,2022-11-02,3.98
FARM-044526,Zamfara,cocoa,COCOA-V1,2022-05-18,8.19,0.25,2022-12-18,0.1
FARM-023024,Sokoto,sorghum,SORGHUM-V3,2022-07-28,2.37,1.11,2022-11-10,1.13
FARM-043157,Akwa Ibom,maize,MAIZE-V2,2023-10-14,0.31,2.77,2024-02-03,2.35
FARM-026316,Borno,sorghum,SORGHUM-V2,2024-06-15,0.67,0.5,2024-09-27,0.4
FARM-045696,Zamfara,yam,YAM-LOCAL,2024-03-14,0.79,6.78,2024-10-19,9.21
FARM-037858,Sokoto,yam,YAM-V1,2022-02-18,2.4,8.42,2022-10-27,7.86
FARM-022993,Zamfara,soybean,SOYBEAN-V1,2023-12-21,1.06,1.18,2024-04-04,1.15
FARM-016567,Kogi,maize,MAIZE-V1,2024-06-17,0.42,2.17,2024-10-13,1.97
FARM-007165,Plateau,soybean,SOYBEAN-V1,2024-11-16,1.71,1.79,2025-02-22,0.92
FARM-032464,Borno,sorghum,SORGHUM-LOCAL,2024-05-04,0.67,0.45,2024-08-28,0.5
FARM-023394,Oyo,sorghum,SORGHUM-V2,2022-07-05,0.46,1.48,2022-11-07,1.74
FARM-046111,Yobe,maize,MAIZE-LOCAL,2023-10-22,1.56,0.94,2024-02-09,0.83
FARM-031840,Benue,groundnut,GROUNDNUT-V2,2022-06-13,2.52,1.27,2022-10-10,0.85
FARM-036521,Ondo,groundnut,GROUNDNUT-LOCAL,2023-07-09,1.23,1.25,2023-11-02,1.14
FARM-048381,Kaduna,cassava,CASSAVA-V2,2024-12-27,1.61,11.1,2026-03-10,10.09
FARM-029431,Yobe,soybean,SOYBEAN-V2,2023-10-28,3.98,0.58,2024-02-12,0.5
FARM-046330,Bauchi,rice,RICE-LOCAL,2024-06-13,1.58,2.88,2024-10-28,3.41
FARM-024701,Enugu,cassava,CASSAVA-V1,2024-04-04,1.05,11.87,2025-02-18,8.48
FARM-015637,Katsina,cocoa,COCOA-V1,2022-01-02,2.26,0.26,2022-07-23,0.32
FARM-040734,Bayelsa,cocoa,COCOA-V3,2022-03-17,1.79,0.52,2022-10-08,0.52
FARM-027538,Borno,yam,YAM-LOCAL,2023-04-26,1.34,3.85,2024-01-11,5.0
FARM-048898,Niger,cassava,CASSAVA-V3,2022-11-24,9.55,10.15,2023-09-16,9.63
FARM-040018,Jigawa,soybean,SOYBEAN-V2,2024-05-22,2.59,1.16,2024-09-04,0.88
FARM-044983,Gombe,groundnut,GROUNDNUT-V3,2022-07-07,1.98,1.11,2022-10-22,0.88
FARM-004133,Delta,groundnut,GROUNDNUT-V2,2024-05-08,4.26,1.65,2024-09-03,2.02
FARM-025066,Kwara,rice,RICE-V3,2024-07-19,2.0,3.17,2024-12-15,2.76
FARM-016482,Taraba,rice,RICE-V3,2022-07-21,4.86,3.28,2022-12-10,4.63
FARM-001202,Borno,cocoa,COCOA-V3,2024-12-13,2.09,0.16,2025-12-04,0.1
FARM-033712,Katsina,cassava,CASSAVA-LOCAL,2022-12-09,2.04,7.41,2024-01-16,8.24
FARM-007762,Osun,cassava,CASSAVA-V3,2023-07-09,1.79,10.62,2024-06-25,11.79
FARM-009880,Bauchi,soybean,SOYBEAN-V1,2022-05-03,1.19,1.35,2022-08-16,0.5
FARM-042844,Kwara,sorghum,SORGHUM-V2,2024-06-10,0.69,1.39,2024-09-24,1.83
FARM-025206,Nasarawa,groundnut,GROUNDNUT-V2,2022-07-26,0.6,1.14,2022-10-25,1.09
FARM-011067,Osun,cassava,CASSAVA-V2,2024-08-05,0.45,11.92,2025-08-05,11.97
FARM-014126,Kebbi,soybean,SOYBEAN-V1,2022-03-24,0.87,1.05,2022-07-01,1.37
FARM-013562,Sokoto,millet,MILLET-V3,2022-06-06,1.5,1.03,2022-09-22,0.42
FARM-049882,Bauchi,yam,YAM-V3,2023-03-27,2.11,8.84,2023-11-05,5.0
FARM-036872,Ebonyi,sorghum,SORGHUM-V3,2022-06-08,1.69,1.49,2022-09-24,1.87
FARM-012695,Kano,sorghum,SORGHUM-V3,2024-06-13,0.57,1.36,2024-10-13,0.91
FARM-005783,Anambra,rice,RICE-V3,2023-07-01,1.16,2.68,2023-11-27,2.66
FARM-031546,Kebbi,rice,RICE-V3,2023-06-18,3.24,2.04,2023-10-23,1.56
FARM-017050,Oyo,cocoa,COCOA-LOCAL,2023-06-05,0.75,0.52,2024-02-15,0.51
FARM-042353,Yobe,cassava,CASSAVA-V1,2023-04-04,6.79,4.56,2024-02-09,6.99
FARM-004839,Ogun,sorghum,SORGHUM-V3,2023-06-04,3.12,1.73,2023-10-01,1.34
FARM-047318,Cross River,groundnut,GROUNDNUT-V2,2022-07-12,2.68,1.59,2022-11-08,1.9
FARM-006426,Niger,cassava,CASSAVA-V1,2022-01-04,2.43,8.71,2023-01-15,9.71
FARM-004372,Delta,cassava,CASSAVA-V1,2024-12-16,2.33,11.6,2025-10-02,12.04
FARM-028819,Sokoto,maize,MAIZE-V2,2024-04-23,3.48,2.14,2024-08-07,1.73
FARM-022256,Lagos,yam,YAM-V3,2023-02-09,0.76,11.51,2023-09-17,10.73
FARM-005037,Abia,cassava,CASSAVA-V2,2023-11-04,3.02,10.09,2024-11-03,12.0
FARM-010622,Abia,groundnut,GROUNDNUT-V1,2024-05-11,2.78,1.47,2024-08-28,1.66
FARM-034513,Sokoto,rice,RICE-V2,2022-05-18,4.38,1.98,2022-09-24,1.0
FARM-030850,Cross River,sorghum,SORGHUM-V2,2022-07-03,1.4,1.5,2022-11-06,1.74
FARM-036937,Imo,maize,MAIZE-V1,2024-04-18,0.59,2.0,2024-07-20,1.93
FARM-006167,Adamawa,yam,YAM-V1,2023-04-18,2.06,9.48,2024-02-06,12.89
FARM-014124,Imo,cocoa,COCOA-V3,2023-12-12,2.54,0.45,2024-09-26,0.57
FARM-027511,Kogi,millet,MILLET-V2,2024-05-14,2.0,1.13,2024-08-19,0.94
FARM-037969,Taraba,millet,MILLET-V1,2022-05-20,0.69,1.07,2022-09-12,1.3
FARM-012428,Oyo,soybean,SOYBEAN-V1,2022-03-12,0.39,1.95,2022-07-05,1.5
FARM-027068,Rivers,cocoa,COCOA-LOCAL,2022-12-11,1.55,0.51,2023-08-24,0.48
FARM-031011,Lagos,soybean,SOYBEAN-V1,2022-04-17,1.9,1.38,2022-07-16,1.24
FARM-001726,Ogun,millet,MILLET-V2,2022-05-02,1.08,1.12,2022-08-08,0.99
FARM-046769,Kwara,soybean,SOYBEAN-LOCAL,2022-07-15,0.4,1.62,2022-11-05,1.35
FARM-044286,Anambra,maize,MAIZE-V3,2022-04-15,1.88,2.21,2022-07-27,2.71
FARM-011695,Niger,maize,MAIZE-V3,2024-04-17,1.89,2.37,2024-07-25,1.47
FARM-020408,Taraba,yam,YAM-LOCAL,2023-04-06,1.37,9.18,2024-01-16,13.01
FARM-040604,Bayelsa,cassava,CASSAVA-V3,2023-10-17,0.5,10.21,2025-03-29,11.16
FARM-020920,Rivers,yam,YAM-V3,2023-04-21,1.08,12.89,2024-01-03,11.89
FARM-017440,Rivers,oil_palm,OIL_PALM-V1,2024-12-05,0.92,3.17,2025-03-24,3.13
FARM-000889,Gombe,soybean,SOYBEAN-LOCAL,2024-03-11,1.81,1.79,2024-06-26,1.86
FARM-014392,Kogi,cassava,CASSAVA-V2,2023-12-16,0.55,10.92,2025-03-10,10.37
FARM-008765,Enugu,sorghum,SORGHUM-V1,2024-07-09,3.14,1.29,2024-11-12,1.45
FARM-013674,Kwara,rice,RICE-V3,2022-06-23,1.22,3.04,2022-10-29,2.55
FARM-018615,Kogi,oil_palm,OIL_PALM-V3,2022-02-13,1.02,4.16,2022-05-17,4.33
FARM-038766,Benue,millet,MILLET-LOCAL,2023-07-18,2.22,1.26,2023-10-17,1.81
FARM-011625,Rivers,soybean,SOYBEAN-V3,2022-07-23,1.23,1.49,2022-11-05,0.97
FARM-015676,Kano,rice,RICE-LOCAL,2022-05-17,4.24,2.77,2022-10-10,1.7
FARM-024830,Sokoto,sorghum,SORGHUM-LOCAL,2024-07-10,0.48,1.27,2024-10-18,0.78
FARM-015620,Yobe,maize,MAIZE-LOCAL,2022-04-05,2.8,1.13,2022-07-13,0.5
FARM-047545,Oyo,cassava,CASSAVA-V3,2024-05-01,2.74,10.76,2025-10-11,6.78
FARM-044176,Ondo,millet,MILLET-LOCAL,2023-07-27,2.19,1.19,2023-11-11,0.79
FARM-003816,Kaduna,rice,RICE-LOCAL,2022-06-27,0.49,3.04,2022-11-09,3.94
FARM-039009,Bayelsa,cocoa,COCOA-LOCAL,2024-10-04,1.03,0.51,2025-05-03,0.45
FARM-023898,Kwara,sorghum,SORGHUM-V3,2024-07-27,0.81,1.67,2024-11-30,1.69
FARM-009504,Ogun,millet,MILLET-LOCAL,2023-07-13,0.34,1.36,2023-10-13,1.18
FARM-045620,Bauchi,oil_palm,OIL_PALM-LOCAL,2022-07-23,0.95,3.1,2022-11-14,1.58
FARM-027214,Imo,rice,RICE-V3,2022-06-19,2.72,3.15,2022-10-29,2.85
FARM-008972,Kebbi,rice,RICE-V1,2024-07-02,0.71,2.06,2024-11-16,3.2
FARM-046376,Kwara,groundnut,GROUNDNUT-V2,2024-06-03,1.77,1.14,2024-09-17,1.76
FARM-044519,Bayelsa,soybean,SOYBEAN-LOCAL,2023-06-12,2.03,1.63,2023-09-14,1.44
FARM-037566,Imo,yam,YAM-V3,2024-02-24,4.64,12.87,2024-10-25,10.2
FARM-045670,Cross River,cocoa,COCOA-LOCAL,2022-03-19,1.38,0.45,2022-12-04,0.38
FARM-046692,Nasarawa,cocoa,COCOA-V3,2023-06-11,1.4,0.47,2024-02-06,0.59
FARM-000140,Zamfara,soybean,SOYBEAN-V2,2023-08-22,1.47,0.94,2023-11-22,1.48
FARM-007259,Kwara,oil_palm,OIL_PALM-LOCAL,2023-05-22,1.74,3.98,2023-08-26,5.39
FARM-031740,Kwara,oil_palm,OIL_PALM-V3,2024-08-13,0.92,3.36,2024-12-04,2.73
FARM-031286,Sokoto,maize,MAIZE-LOCAL,2024-06-04,4.72,1.65,2024-09-14,1.22
FARM-018772,Rivers,soybean,SOYBEAN-V1,2023-06-10,1.53,1.63,2023-09-12,2.28
FARM-007601,Yobe,millet,MILLET-V3,2024-05-06,0.81,0.54,2024-08-31,1.0
FARM-019620,Kwara,cassava,CASSAVA-V3,2023-06-24,1.64,9.79,2024-09-29,12.07
FARM-026153,Imo,cassava,CASSAVA-V2,2023-08-17,1.29,9.56,2025-01-31,10.26
FARM-005746,Rivers,cassava,CASSAVA-V1,2023-04-23,0.76,10.33,2024-02-15,8.96
FARM-020432,Kaduna,yam,YAM-V1,2022-02-07,1.4,12.07,2022-10-31,12.63
FARM-039411,Akwa Ibom,soybean,SOYBEAN-V1,2024-06-27,0.4,1.57,2024-10-08,0.56
FARM-032577,Niger,oil_palm,OIL_PALM-LOCAL,2023-08-10,1.05,3.77,2023-12-07,3.49
FARM-006729,Sokoto,oil_palm,OIL_PALM-V3,2023-06-17,1.46,2.74,2023-09-25,2.71
FARM-030588,Kebbi,maize,MAIZE-V2,2022-10-11,3.65,1.46,2023-01-12,2.07
FARM-033966,Kaduna,yam,YAM-V1,2023-04-08,0.96,9.66,2023-11-10,12.1
FARM-012998,Sokoto,millet,MILLET-LOCAL,2024-06-11,1.23,1.06,2024-09-21,0.78
FARM-024812,Anambra,rice,RICE-V3,2023-07-02,4.29,3.16,2023-11-05,3.61
FARM-019380,Kaduna,cassava,CASSAVA-V2,2024-06-26,1.19,9.01,2025-09-26,8.98
FARM-040534,Imo,maize,MAIZE-LOCAL,2024-10-11,0.79,2.56,2025-02-02,2.19
FARM-022645,Delta,oil_palm,OIL_PALM-V3,2023-02-07,0.31,3.62,2023-05-13,5.33
FARM-044236,Osun,maize,MAIZE-V1,2023-10-28,2.78,2.05,2024-02-06,2.06
FARM-026879,Osun,cocoa,COCOA-V1,2023-04-07,0.99,0.42,2024-02-15,0.33
FARM-008913,Jigawa,cocoa,COCOA-V1,2023-06-27,2.33,0.23,2024-04-05,0.13
FARM-034544,Katsina,cocoa,COCOA-V2,2022-10-02,12.5,0.34,2023-07-25,0.62
FARM-049450,Oyo,oil_palm,OIL_PALM-V3,2023-05-13,1.05,3.4,2023-09-01,2.7
FARM-017088,Jigawa,yam,YAM-V3,2023-04-20,1.31,8.4,2024-02-10,12.29
FARM-003823,Abia,maize,MAIZE-V3,2023-10-11,2.55,2.03,2024-01-26,1.79
FARM-047998,Yobe,sorghum,SORGHUM-V3,2022-07-24,0.38,0.6,2022-11-27,0.3
FARM-040947,Delta,cocoa,COCOA-V1,2023-09-17,0.54,0.37,2024-05-27,0.29
FARM-027192,Abia,maize,MAIZE-V3,2023-06-06,1.07,1.98,2023-09-22,1.13
FARM-032568,Delta,soybean,SOYBEAN-V2,2022-06-07,1.41,1.52,2022-09-25,1.9
FARM-012176,Kebbi,rice,RICE-V2,2024-07-20,0.57,2.14,2024-11-18,3.1
FARM-035093,Ebonyi,cassava,CASSAVA-V2,2023-12-02,0.41,10.97,2025-02-20,9.49
FARM-046893,Oyo,sorghum,SORGHUM-V1,2024-05-10,2.69,1.44,2024-09-08,1.42
FARM-005390,Plateau,millet,MILLET-V3,2022-06-17,1.46,1.3,2022-09-16,1.45
FARM-007719,Imo,maize,MAIZE-V1,2024-05-18,0.54,2.52,2024-09-06,2.64
FARM-004217,Lagos,yam,YAM-V1,2023-03-08,0.83,10.27,2023-10-12,8.46
FARM-034086,Taraba,cocoa,COCOA-V2,2024-04-11,0.67,0.38,2024-10-23,0.19
FARM-037718,Yobe,sorghum,SORGHUM-V1,2022-07-12,1.08,0.75,2022-11-09,0.71
FARM-044062,Akwa Ibom,maize,MAIZE-V3,2024-05-11,0.84,2.27,2024-08-30,2.16
FARM-020571,Gombe,millet,MILLET-V1,2023-06-25,1.7,1.4,2023-09-29,1.61
FARM-019138,Yobe,maize,MAIZE-LOCAL,2023-06-17,0.59,0.93,2023-09-30,0.5
FARM-041244,Anambra,yam,YAM-V1,2024-04-16,0.72,11.4,2024-12-20,11.97
FARM-041488,Niger,cocoa,COCOA-V1,2022-09-28,0.8,0.47,2023-04-26,0.41
FARM-029864,Ogun,soybean,SOYBEAN-LOCAL,2022-12-18,2.3,1.87,2023-03-28,2.7
FARM-008168,Kwara,maize,MAIZE-V1,2024-11-10,1.46,2.05,2025-03-04,2.14
FARM-018945,Kogi,millet,MILLET-V2,2023-07-03,0.6,0.98,2023-10-24,0.3
FARM-021347,Nasarawa,oil_palm,OIL_PALM-V3,2022-02-25,2.34,4.02,2022-06-16,5.09
