N,P,K,temperature,humidity,ph,rainfall,soil_texture,label
630.68,18.33,221.07,30.99,65.46,5.52,199.38,Loamy,cassava
657.24,14.86,257.75,30.65,70.33,6.61,143.23,Loamy,cassava
1062.76,24.54,164.49,22.15,57.24,6.02,89.75,Sandy,maize
732.52,15.46,314.29,27.71,81.23,5.46,267.82,Loamy,oil_palm
818.18,12.87,150.62,19.28,63.78,5.65,63.27,Loamy,maize
617.21,14.93,187.18,27.16,88.62,6.28,251.85,Clay,cocoa
271.24,9.47,32.07,35.99,46.05,7.25,74.57,Loamy,millet
533.82,11.42,65.86,32.93,40.63,8.25,60.95,Sandy,sorghum
814.05,11.81,134.56,26.66,59.74,6.88,79.46,Loamy,maize
751.07,8.63,178.66,24.41,61.03,6.78,99.54,Loamy,maize
298.35,7.27,56.67,32.5,49.24,7.12,41.62,Loamy,millet
352.26,6.34,156.58,30.65,78.67,5.43,200.87,Clay,cassava
527.75,16.11,217.15,31.77,70.59,6.25,161.12,Loamy,cassava
1183.07,18.04,88.13,19.52,62.54,5.86,75.76,Loamy,maize
609.01,13.74,316.2,29.68,80.25,6.19,272.29,Loamy,oil_palm
368.88,8.37,63.29,27.97,49.23,6.74,82.25,Sandy,sorghum
988.3,29.73,79.51,24.85,83.13,6.05,207.26,Clay,rice
775.58,12.3,181.58,26.0,84.9,6.29,246.18,Loamy,cocoa
1015.84,29.54,149.47,25.16,84.2,5.5,279.53,Loamy,rice
738.48,19.35,241.07,25.33,77.24,5.85,181.4,Loamy,yam
960.37,17.81,238.41,23.65,75.85,6.95,259.85,Loamy,cocoa
523.08,16.23,188.99,25.0,61.71,5.35,212.63,Clay,cassava
524.12,14.99,86.92,32.74,59.76,6.61,59.03,Sandy,sorghum
445.89,9.44,58.92,31.22,34.47,7.17,51.71,Sandy,millet
244.55,5.9,37.82,35.63,50.75,6.06,38.7,Loamy,millet
645.36,19.21,212.22,30.0,89.46,5.16,280.78,Loamy,oil_palm
924.05,23.95,201.55,24.78,83.8,6.76,255.92,Loamy,cocoa
964.32,15.13,295.41,27.98,89.26,6.38,277.78,Clay,cocoa
294.24,9.28,82.66,29.22,36.9,7.18,67.45,Loamy,sorghum
543.51,13.1,235.32,23.51,87.3,6.6,258.52,Clay,cocoa
952.18,20.79,301.25,26.77,81.64,6.11,296.2,Loamy,cocoa
827.48,14.58,241.63,30.68,79.43,5.89,264.59,Loamy,oil_palm
364.11,7.96,87.82,31.14,42.88,6.56,72.24,Sandy,millet
702.99,21.71,311.4,31.22,82.92,5.54,273.54,Clay,oil_palm
718.39,18.97,143.43,23.63,78.54,5.95,208.74,Clay,rice
864.09,12.11,89.78,26.9,62.55,6.92,88.83,Loamy,maize
964.53,13.8,115.6,24.29,69.27,6.54,66.97,Loamy,maize
1040.52,23.45,71.56,25.39,83.6,6.31,260.49,Loamy,rice
303.55,6.67,214.31,29.93,78.79,5.6,209.15,Loamy,cassava
911.27,15.92,87.28,18.76,62.85,6.48,76.99,Loamy,maize
669.41,13.86,273.16,26.83,76.38,6.63,148.99,Loamy,yam
734.87,25.17,229.87,26.08,90.0,5.36,275.21,Clay,oil_palm
959.2,16.32,143.74,27.06,56.77,6.0,89.15,Loamy,maize
788.67,19.97,204.18,31.48,90.1,5.32,296.74,Clay,oil_palm
472.83,6.62,64.25,33.27,53.74,7.67,66.05,Loamy,millet
405.55,9.46,108.85,26.12,40.12,5.8,77.47,Loamy,sorghum
388.3,10.83,70.58,30.9,46.12,5.59,85.06,Sandy,millet
881.87,23.33,304.01,26.88,89.24,4.47,254.17,Loamy,oil_palm
716.85,27.46,276.31,25.07,85.35,4.93,256.44,Loamy,oil_palm
404.61,11.76,246.62,25.02,66.11,5.59,174.3,Loamy,yam
638.37,5.15,287.76,28.87,69.61,5.7,156.93,Loamy,cassava
712.54,17.94,239.48,28.6,72.02,6.15,207.54,Loamy,yam
633.66,5.29,287.93,31.77,70.42,5.14,171.14,Sandy,cassava
582.93,11.53,269.25,27.86,78.76,5.68,182.21,Loamy,yam
618.86,13.01,90.31,23.2,65.65,5.6,69.26,Loamy,maize
1028.08,10.98,281.86,29.53,84.79,5.57,260.51,Clay,oil_palm
880.29,8.55,194.03,24.66,81.18,6.94,258.02,Loamy,cocoa
471.45,4.14,70.83,33.23,55.9,7.14,51.92,Sandy,sorghum
835.95,14.65,281.08,30.4,81.52,5.78,277.04,Sandy,oil_palm
454.02,13.95,206.93,26.95,61.42,6.33,219.89,Loamy,yam
971.0,20.92,241.68,25.6,88.37,4.69,278.99,Clay,oil_palm
413.46,6.32,69.22,34.23,36.3,6.26,58.25,Loamy,sorghum
1292.0,29.04,117.78,26.98,81.56,7.45,257.15,Sandy,rice
721.7,11.69,229.03,26.7,79.23,6.15,159.0,Loamy,yam
239.68,6.92,63.92,29.51,34.39,7.6,74.66,Loamy,millet
697.99,25.05,276.81,30.28,87.26,6.12,262.06,Loamy,oil_palm
518.53,5.33,64.84,30.66,43.55,6.95,60.58,Sandy,sorghum
684.55,13.53,176.12,21.76,59.92,6.39,95.95,Sandy,maize
1081.32,20.69,170.54,26.11,58.21,6.1,74.86,Clay,maize
843.24,12.76,253.52,30.92,82.65,4.77,292.13,Clay,oil_palm
1178.54,12.24,81.32,20.43,82.59,5.16,254.51,Clay,rice
1099.47,18.77,82.54,25.46,67.56,5.87,91.21,Loamy,maize
733.15,20.56,235.03,27.64,81.81,5.85,249.83,Loamy,cocoa
527.73,15.76,278.55,27.78,66.52,6.47,177.42,Loamy,yam
724.07,27.27,123.79,20.08,81.04,5.99,193.79,Clay,rice
324.98,12.08,187.1,26.37,70.94,5.37,172.9,Sandy,cassava
859.18,23.38,256.43,29.31,79.81,5.97,261.55,Clay,oil_palm
452.14,20.05,303.89,29.62,70.35,5.83,154.59,Loamy,yam
224.17,8.42,77.88,31.84,35.01,6.13,78.73,Sandy,millet
569.8,10.76,291.63,26.37,71.53,5.55,194.95,Sandy,yam
464.27,3.77,51.29,34.04,38.75,6.22,75.25,Loamy,millet
546.8,8.22,71.39,31.62,37.34,5.54,72.86,Loamy,sorghum
689.88,16.2,256.98,27.73,80.07,5.92,244.68,Clay,cocoa
942.29,22.36,208.21,26.09,84.47,6.3,241.82,Loamy,cocoa
406.11,10.26,220.42,27.85,62.64,5.65,186.51,Loamy,yam
669.99,15.02,304.05,24.2,85.83,5.96,286.62,Clay,cocoa
327.13,3.67,69.88,29.02,41.36,6.04,89.79,Loamy,millet
831.53,18.08,146.19,26.69,80.49,7.19,209.03,Loamy,rice
307.45,7.35,104.39,28.01,35.81,6.82,47.87,Loamy,sorghum
910.38,24.09,96.39,21.36,79.73,5.38,271.93,Loamy,rice
343.71,11.25,296.6,29.86,65.86,5.26,204.53,Loamy,cassava
1039.2,10.46,134.06,22.24,58.54,6.44,69.07,Clay,maize
634.85,19.43,131.63,18.11,59.13,6.43,100.87,Loamy,maize
356.22,15.61,227.69,26.98,62.19,5.04,192.54,Sandy,cassava
508.02,19.86,271.92,26.36,62.91,6.58,193.92,Loamy,yam
785.44,23.46,233.07,26.45,77.94,6.52,265.96,Clay,cocoa
421.38,9.67,58.46,30.12,42.32,6.16,59.52,Sandy,millet
743.47,28.73,98.14,26.96,84.56,6.03,297.49,Loamy,rice
498.7,14.58,317.85,28.45,74.39,6.37,156.9,Loamy,yam
908.54,14.57,141.17,23.54,69.95,6.58,87.08,Loamy,maize
638.47,10.85,292.14,29.26,76.22,5.7,182.78,Loamy,yam
652.13,5.06,151.18,25.01,57.3,6.21,161.76,Sandy,cassava
684.43,13.43,340.33,30.55,81.45,6.25,253.03,Loamy,oil_palm
911.57,20.68,205.63,29.15,83.77,5.01,266.03,Loamy,oil_palm
293.09,3.01,50.6,35.46,45.44,7.6,44.18,Sandy,millet
639.32,19.75,215.16,25.78,89.45,6.95,230.45,Clay,cocoa
428.65,8.19,32.3,32.14,40.85,5.84,68.24,Loamy,millet
782.89,13.16,310.26,23.08,83.93,6.14,297.59,Loamy,cocoa
532.19,11.36,81.43,28.37,38.37,7.14,88.88,Loamy,sorghum
692.3,11.49,297.18,27.58,55.21,6.57,159.92,Sandy,cassava
1128.45,23.79,66.09,26.72,84.71,6.16,213.6,Clay,rice
977.57,17.47,135.78,25.16,80.34,7.41,184.16,Loamy,rice
1071.11,10.96,153.79,27.93,62.38,5.72,61.12,Loamy,maize
454.2,6.08,298.7,28.55,65.8,5.64,212.66,Sandy,cassava
623.33,23.07,201.87,23.67,80.71,6.05,239.61,Loamy,cocoa
912.04,23.25,84.53,18.78,68.58,6.35,105.0,Sandy,maize
312.38,17.05,277.06,26.98,56.71,6.38,204.36,Loamy,cassava
846.23,23.91,118.92,19.34,61.45,5.55,94.61,Sandy,maize
1007.31,13.77,289.44,26.55,87.6,4.5,294.12,Loamy,oil_palm
1153.12,8.16,144.24,19.63,57.55,6.6,79.16,Sandy,maize
862.3,21.7,218.53,26.49,77.27,6.52,246.73,Loamy,cocoa
973.13,11.14,84.73,23.22,81.82,5.35,280.97,Clay,rice
1084.46,21.76,159.16,23.14,73.77,6.06,94.87,Loamy,maize
464.41,10.37,56.74,32.24,58.22,5.59,58.32,Sandy,sorghum
628.27,20.6,282.98,27.83,76.26,5.71,169.59,Loamy,yam
608.07,9.37,215.26,29.15,70.1,6.59,204.45,Loamy,yam
603.31,9.59,89.44,27.7,56.6,6.0,96.63,Clay,maize
508.83,13.85,57.68,32.21,44.82,6.77,95.66,Loamy,sorghum
386.96,10.6,77.87,27.83,28.37,6.53,46.63,Sandy,millet
474.95,3.33,66.49,35.91,48.28,7.3,38.11,Loamy,millet
638.73,17.36,237.18,27.26,84.45,5.97,242.8,Clay,cocoa
635.08,18.76,289.2,27.21,74.2,5.99,201.26,Loamy,yam
330.33,4.86,88.24,26.01,34.23,8.03,81.82,Loamy,sorghum
658.77,18.42,286.42,26.56,86.33,6.8,293.65,Loamy,cocoa
858.02,18.4,234.87,23.43,89.11,6.42,234.37,Clay,cocoa
621.77,18.35,198.25,27.69,73.32,6.51,206.97,Loamy,cassava
358.77,8.05,67.8,32.42,31.48,5.98,75.68,Sandy,sorghum
