state,lga,crop,season,area_ha,yield_t_ha,production_t,quality_grade
Ondo,Ondo-LGA-03,maize,2022_dry,1574.4,1.93,3038.4,Grade B
Rivers,Rivers-LGA-06,maize,2024_dry,831.0,1.64,1363.2,Grade B
Osun,Osun-LGA-14,sorghum,2024_dry,31196.5,1.86,58159.4,Grade C
Zamfara,Zamfara-LGA-11,maize,2023_wet,1031.4,2.22,2289.4,Grade A
Edo,Edo-LGA-10,cocoa,2022_wet,1855.3,0.34,627.9,Grade B
Ogun,Ogun-LGA-11,millet,2025_wet,106.9,1.8,192.8,Grade A
Rivers,Rivers-LGA-08,cassava,2023_dry,100.0,12.3,1229.8,Grade C
Ebonyi,Ebonyi-LGA-04,oil_palm,2024_wet,100.0,2.86,285.5,Grade A
Yobe,Yobe-LGA-06,cocoa,2024_wet,100.0,0.41,40.6,Grade B
Imo,Imo-LGA-05,sorghum,2022_dry,5910.0,1.52,8974.3,Grade B
Imo,Imo-LGA-14,cocoa,2023_wet,236.2,0.53,124.8,Grade C
Ondo,Ondo-LGA-03,cocoa,2024_dry,50000.0,0.25,12445.7,Grade B
Anambra,Anambra-LGA-03,rice,2023_dry,480.1,3.04,1458.9,Grade A
Bauchi,Bauchi-LGA-07,oil_palm,2024_wet,256.6,2.54,652.1,Grade B
Borno,Borno-LGA-03,millet,2022_dry,885.1,0.56,498.0,Grade B
Zamfara,Zamfara-LGA-13,rice,2024_dry,100.0,1.59,159.3,Grade B
Ekiti,Ekiti-LGA-05,cassava,2022_wet,100.0,9.52,951.7,Grade B
Nasarawa,Nasarawa-LGA-13,cocoa,2023_wet,2095.1,0.56,1178.2,Grade C
Enugu,Enugu-LGA-14,cassava,2024_wet,378.2,9.8,3705.2,Grade B
Delta,Delta-LGA-10,rice,2024_wet,1168.0,3.74,4363.2,Grade C
Borno,Borno-LGA-03,millet,2023_dry,308.8,0.43,133.0,Grade B
FCT,FCT-LGA-02,rice,2024_wet,168.8,1.87,315.1,Grade B
Kogi,Kogi-LGA-14,cassava,2022_dry,889.9,11.46,10201.3,Grade B
FCT,FCT-LGA-14,yam,2024_dry,1501.3,10.1,15166.7,Grade A
Enugu,Enugu-LGA-08,sorghum,2022_wet,944.1,1.33,1256.8,Grade B
Sokoto,Sokoto-LGA-05,millet,2023_wet,492.2,0.86,425.1,Grade A
Abia,Abia-LGA-12,millet,2025_wet,8943.4,1.33,11870.5,Grade C
Benue,Benue-LGA-03,cocoa,2024_wet,297.3,0.38,112.5,Grade A
Kogi,Kogi-LGA-11,millet,2024_dry,613.5,2.07,1267.9,Grade A
Lagos,Lagos-LGA-09,cocoa,2022_dry,620.0,0.36,226.0,Grade B
Zamfara,Zamfara-LGA-10,maize,2025_wet,673.1,1.98,1332.3,Grade C
Kebbi,Kebbi-LGA-01,maize,2025_wet,565.0,2.17,1225.3,Grade C
Kebbi,Kebbi-LGA-14,millet,2025_wet,310.8,0.4,122.8,Grade C
FCT,FCT-LGA-05,yam,2025_wet,178.0,9.49,1689.5,Grade C
Niger,Niger-LGA-12,cassava,2023_wet,394.8,14.31,5649.3,Grade A
Osun,Osun-LGA-07,millet,2023_dry,220.8,1.25,276.5,Grade A
Bayelsa,Bayelsa-LGA-10,yam,2022_dry,3823.0,12.19,46589.8,Grade A
Nasarawa,Nasarawa-LGA-06,yam,2024_dry,133.9,12.46,1668.1,Grade B
Ogun,Ogun-LGA-01,rice,2022_wet,2598.6,3.74,9716.9,Grade B
Taraba,Taraba-LGA-12,oil_palm,2022_dry,416.6,2.73,1139.3,Grade C
Adamawa,Adamawa-LGA-06,sorghum,2023_dry,9503.7,0.83,7850.4,Grade B
Gombe,Gombe-LGA-13,sorghum,2022_dry,138.5,1.34,185.2,Grade B
Osun,Osun-LGA-12,maize,2024_wet,209.0,1.91,398.5,Grade B
Ogun,Ogun-LGA-11,yam,2024_dry,278.1,10.38,2886.3,Grade A
Plateau,Plateau-LGA-03,sorghum,2024_dry,396.9,0.3,119.1,Grade B
Kano,Kano-LGA-03,rice,2025_wet,1027.8,2.33,2391.3,Grade B
Kebbi,Kebbi-LGA-14,oil_palm,2025_wet,437.4,2.49,1091.0,Grade B
FCT,FCT-LGA-03,maize,2024_dry,918.0,2.51,2308.0,Grade C
Jigawa,Jigawa-LGA-02,sorghum,2025_wet,436.9,1.13,493.9,Grade B
Rivers,Rivers-LGA-10,millet,2022_wet,4807.9,1.91,9190.6,Grade B
Ondo,Ondo-LGA-14,sorghum,2023_wet,3525.5,1.65,5829.7,Grade B
Niger,Niger-LGA-04,oil_palm,2023_dry,760.4,3.01,2290.0,Grade A
Kwara,Kwara-LGA-11,cocoa,2022_wet,134.0,0.67,90.0,Grade A
Plateau,Plateau-LGA-02,rice,2024_dry,100.0,2.57,256.7,Grade A
Sokoto,Sokoto-LGA-06,maize,2024_dry,105.4,2.02,212.7,Grade B
Taraba,Taraba-LGA-08,yam,2022_wet,342.5,10.5,3594.8,Grade A
Lagos,Lagos-LGA-12,oil_palm,2022_dry,602.0,2.98,1794.9,Grade A
Nasarawa,Nasarawa-LGA-06,millet,2024_dry,751.8,0.33,250.6,Grade C
Jigawa,Jigawa-LGA-13,rice,2024_wet,195.4,2.04,398.3,Grade C
Kebbi,Kebbi-LGA-09,yam,2023_dry,100.0,5.55,554.5,Grade B
Zamfara,Zamfara-LGA-09,rice,2022_dry,2565.6,1.0,2565.6,Grade B
Plateau,Plateau-LGA-05,cassava,2024_wet,100.0,10.38,1038.3,Grade A
Edo,Edo-LGA-07,cocoa,2022_dry,396.9,0.32,126.7,Grade B
Borno,Borno-LGA-13,oil_palm,2024_dry,2619.7,1.54,4034.1,Grade C
Ebonyi,Ebonyi-LGA-09,rice,2025_wet,110.7,2.44,269.7,Grade C
Enugu,Enugu-LGA-01,rice,2024_wet,183.7,3.35,615.0,Grade B
Zamfara,Zamfara-LGA-14,sorghum,2023_dry,100.0,0.42,42.1,Grade B
Taraba,Taraba-LGA-03,cocoa,2024_wet,100.0,0.23,23.2,Grade C
Bauchi,Bauchi-LGA-11,yam,2023_wet,276.0,7.76,2142.8,Grade A
Edo,Edo-LGA-03,oil_palm,2022_wet,1768.7,3.88,6861.4,Grade B
Enugu,Enugu-LGA-10,oil_palm,2023_wet,1796.0,4.52,8114.0,Grade A
Benue,Benue-LGA-06,rice,2024_wet,513.7,3.08,1582.3,Grade C
Rivers,Rivers-LGA-13,millet,2024_dry,100.0,1.59,159.1,Grade C
Zamfara,Zamfara-LGA-05,yam,2024_dry,3957.9,10.9,43143.1,Grade B
Rivers,Rivers-LGA-03,rice,2023_dry,113.7,2.33,264.4,Grade B
Gombe,Gombe-LGA-05,maize,2022_dry,4276.8,2.19,9371.7,Grade A
Plateau,Plateau-LGA-03,millet,2024_wet,100.0,1.28,128.1,Grade C
Akwa Ibom,Akwa Ibom-LGA-12,cassava,2025_wet,5765.2,8.24,47486.2,Grade A
Plateau,Plateau-LGA-13,sorghum,2022_wet,194.0,1.69,328.6,Grade C
Abia,Abia-LGA-06,millet,2023_wet,1616.2,0.95,1539.4,Grade C
Bayelsa,Bayelsa-LGA-14,cassava,2024_wet,691.7,8.16,5643.7,Grade B
Osun,Osun-LGA-14,millet,2022_wet,1735.3,1.1,1908.5,Grade B
Anambra,Anambra-LGA-09,rice,2024_wet,128.2,2.67,342.3,Grade A
Ebonyi,Ebonyi-LGA-08,maize,2025_wet,161.2,2.09,336.8,Grade B
Plateau,Plateau-LGA-12,maize,2023_wet,604.9,2.77,1675.9,Grade B
Kaduna,Kaduna-LGA-04,oil_palm,2022_dry,1167.5,1.58,1841.0,Grade B
Bauchi,Bauchi-LGA-10,oil_palm,2024_dry,9000.5,5.55,49952.0,Grade B
Niger,Niger-LGA-08,millet,2024_dry,312.7,1.35,423.5,Grade A
Katsina,Katsina-LGA-08,cassava,2022_dry,171.3,8.23,1410.3,Grade A
Abia,Abia-LGA-12,yam,2022_dry,4615.0,13.76,63503.3,Grade B
Adamawa,Adamawa-LGA-12,sorghum,2024_dry,1336.0,1.09,1456.8,Grade B
Plateau,Plateau-LGA-13,millet,2022_wet,992.6,1.07,1058.4,Grade B
Yobe,Yobe-LGA-11,cocoa,2022_wet,249.2,0.3,74.0,Grade A
Bauchi,Bauchi-LGA-13,cocoa,2022_dry,1694.1,0.29,488.9,Grade C
Kebbi,Kebbi-LGA-08,rice,2022_wet,5827.0,2.49,14482.2,Grade B
Rivers,Rivers-LGA-05,oil_palm,2023_dry,100.0,3.09,308.9,Grade B
Lagos,Lagos-LGA-02,yam,2022_dry,573.2,10.44,5984.3,Grade A
Plateau,Plateau-LGA-08,maize,2023_wet,866.1,1.44,1247.3,Grade C
Ondo,Ondo-LGA-11,sorghum,2025_wet,100.0,1.19,118.7,Grade B
Abia,Abia-LGA-13,sorghum,2022_wet,773.3,1.42,1098.1,Grade B
Plateau,Plateau-LGA-12,cocoa,2022_dry,1589.4,0.13,206.4,Grade B
Delta,Delta-LGA-09,sorghum,2024_wet,180.2,1.24,224.1,Grade B
Ogun,Ogun-LGA-14,rice,2025_wet,321.3,2.73,877.4,Grade A
Niger,Niger-LGA-11,cocoa,2024_dry,169.0,0.54,90.7,Grade B
Kano,Kano-LGA-02,maize,2023_dry,753.1,1.55,1166.1,Grade B
Bauchi,Bauchi-LGA-03,oil_palm,2023_dry,687.1,3.46,2379.7,Grade B
Katsina,Katsina-LGA-13,oil_palm,2024_dry,510.9,2.97,1519.3,Grade C
Kogi,Kogi-LGA-08,oil_palm,2023_dry,100.0,3.5,349.6,Grade A
Enugu,Enugu-LGA-05,rice,2025_wet,337.0,2.6,875.7,Grade A
Adamawa,Adamawa-LGA-11,millet,2022_dry,117.7,1.65,193.9,Grade B
Yobe,Yobe-LGA-12,millet,2024_wet,209.9,0.35,73.0,Grade C
Nasarawa,Nasarawa-LGA-03,oil_palm,2022_wet,260.4,3.74,972.8,Grade B
Ekiti,Ekiti-LGA-11,rice,2023_wet,333.6,2.99,995.7,Grade B
Enugu,Enugu-LGA-06,cassava,2022_dry,100.0,6.6,659.5,Grade C
Akwa Ibom,Akwa Ibom-LGA-11,oil_palm,2024_dry,280.0,1.0,280.0,Grade A
Osun,Osun-LGA-10,yam,2024_dry,573.9,13.62,7818.4,Grade B
Rivers,Rivers-LGA-06,millet,2022_dry,3474.4,1.66,5774.7,Grade B
Kwara,Kwara-LGA-02,cassava,2023_dry,253.3,7.46,1888.7,Grade A
Abia,Abia-LGA-12,cocoa,2024_wet,835.6,0.48,400.3,Grade A
Niger,Niger-LGA-13,maize,2023_wet,400.6,1.37,546.9,Grade B
Plateau,Plateau-LGA-07,millet,2023_dry,161.6,1.48,239.2,Grade A
Rivers,Rivers-LGA-06,sorghum,2023_dry,274.8,2.21,606.3,Grade A
Sokoto,Sokoto-LGA-04,maize,2024_wet,100.0,2.61,260.6,Grade A
Benue,Benue-LGA-08,yam,2024_wet,2254.2,13.22,29811.9,Grade A
Edo,Edo-LGA-06,rice,2022_wet,780.3,3.09,2412.4,Grade A
Ebonyi,Ebonyi-LGA-05,cassava,2024_wet,706.0,12.96,9149.1,Grade C
Benue,Benue-LGA-01,yam,2025_wet,782.2,11.32,8852.3,Grade A
Rivers,Rivers-LGA-10,rice,2023_wet,1616.0,3.02,4881.2,Grade B
Osun,Osun-LGA-10,rice,2024_wet,529.8,3.12,1654.3,Grade B
Adamawa,Adamawa-LGA-11,oil_palm,2025_wet,100.0,1.02,102.5,Grade A
Osun,Osun-LGA-09,yam,2023_wet,159.2,11.97,1905.4,Grade B
Ebonyi,Ebonyi-LGA-08,oil_palm,2022_wet,257.2,4.18,1076.1,Grade B
Ekiti,Ekiti-LGA-03,cocoa,2024_dry,183.4,0.62,113.5,Grade B
Niger,Niger-LGA-06,oil_palm,2023_wet,327.8,3.13,1024.6,Grade A
Kebbi,Kebbi-LGA-03,maize,2022_dry,444.3,1.54,684.6,Grade B
Plateau,Plateau-LGA-08,oil_palm,2024_dry,772.5,4.61,3559.8,Grade B
Ekiti,Ekiti-LGA-11,millet,2024_dry,1084.7,1.54,1672.3,Grade B
Oyo,Oyo-LGA-05,maize,2025_wet,101.5,2.82,286.6,Grade B
Ebonyi,Ebonyi-LGA-01,maize,2023_wet,100.0,2.53,252.5,Grade C
Kwara,Kwara-LGA-10,millet,2025_wet,527.9,0.84,446.1,Grade B
Lagos,Lagos-LGA-07,yam,2025_wet,922.6,5.66,5225.7,Grade A
Borno,Borno-LGA-04,cocoa,2024_wet,3619.9,0.1,362.0,Grade A
Kogi,Kogi-LGA-03,sorghum,2023_wet,290.7,1.22,355.6,Grade A
Rivers,Rivers-LGA-06,rice,2025_wet,318.1,2.18,695.0,Grade B
Ogun,Ogun-LGA-06,cocoa,2022_wet,145.6,0.24,34.8,Grade A
Ondo,Ondo-LGA-10,cassava,2022_wet,2784.6,6.66,18540.5,Grade B
Delta,Delta-LGA-05,oil_palm,2025_wet,1722.7,1.92,3304.6,Grade B
Zamfara,Zamfara-LGA-11,maize,2024_wet,143.1,1.48,212.4,Grade C
Borno,Borno-LGA-08,yam,2025_wet,333.8,5.76,1922.1,Grade B
Taraba,Taraba-LGA-08,oil_palm,2023_wet,200.3,3.64,728.9,Grade A
Edo,Edo-LGA-12,maize,2024_wet,449.5,1.99,896.1,Grade C
Kogi,Kogi-LGA-14,cassava,2023_dry,1452.4,8.28,12021.2,Grade B
Akwa Ibom,Akwa Ibom-LGA-06,cocoa,2023_dry,296.1,0.33,98.9,Grade B
Cross River,Cross River-LGA-08,maize,2022_dry,449.2,2.37,1064.5,Grade A
Ekiti,Ekiti-LGA-01,yam,2024_wet,316.8,13.59,4304.2,Grade C
Akwa Ibom,Akwa Ibom-LGA-05,oil_palm,2024_wet,289.8,3.06,886.0,Grade A
Kogi,Kogi-LGA-01,sorghum,2023_dry,100.0,0.9,90.5,Grade B
Oyo,Oyo-LGA-01,sorghum,2025_wet,1336.7,2.24,3000.0,Grade A
Enugu,Enugu-LGA-04,maize,2025_wet,563.4,1.81,1018.0,Grade B
Bayelsa,Bayelsa-LGA-13,cassava,2023_dry,485.5,10.41,5054.9,Grade B
Bayelsa,Bayelsa-LGA-02,oil_palm,2024_dry,1037.0,3.87,4011.9,Grade B
Ekiti,Ekiti-LGA-04,millet,2024_wet,376.8,0.83,313.7,Grade C
Bauchi,Bauchi-LGA-11,maize,2023_dry,424.2,2.03,860.8,Grade A
Kogi,Kogi-LGA-12,oil_palm,2025_wet,100.0,3.95,394.5,Grade B
Ondo,Ondo-LGA-05,millet,2022_wet,12210.3,1.08,13225.5,Grade C
Sokoto,Sokoto-LGA-11,yam,2023_dry,105.5,14.25,1504.2,Grade B
Kebbi,Kebbi-LGA-09,sorghum,2024_wet,100.0,1.59,159.1,Grade B
Nasarawa,Nasarawa-LGA-01,rice,2022_dry,412.0,3.46,1427.2,Grade C
Bauchi,Bauchi-LGA-14,yam,2025_wet,1788.9,9.25,16548.6,Grade A
Kwara,Kwara-LGA-08,sorghum,2025_wet,1261.9,1.33,1678.5,Grade C
Taraba,Taraba-LGA-12,maize,2022_wet,917.5,2.7,2478.2,Grade B
Bauchi,Bauchi-LGA-10,millet,2022_dry,3046.8,1.06,3243.4,Grade A
Kano,Kano-LGA-07,cassava,2023_wet,169.3,9.54,1615.5,Grade B
Bauchi,Bauchi-LGA-10,rice,2024_dry,110.9,2.68,297.1,Grade B
Anambra,Anambra-LGA-02,sorghum,2024_wet,2042.2,1.74,3543.4,Grade C
Rivers,Rivers-LGA-12,yam,2025_wet,410.8,13.17,5411.2,Grade A
Bauchi,Bauchi-LGA-14,sorghum,2024_dry,1313.1,1.64,2159.4,Grade C
Enugu,Enugu-LGA-11,rice,2022_wet,348.8,4.14,1442.6,Grade C
Abia,Abia-LGA-08,maize,2025_wet,175.3,2.64,462.8,Grade A
Sokoto,Sokoto-LGA-09,millet,2025_wet,140.8,1.08,152.1,Grade B
Kwara,Kwara-LGA-07,sorghum,2023_dry,251.0,1.65,414.1,Grade A
Edo,Edo-LGA-03,millet,2025_wet,1375.4,1.56,2150.2,Grade C
Delta,Delta-LGA-02,sorghum,2024_wet,956.9,1.88,1799.7,Grade B
Oyo,Oyo-LGA-01,oil_palm,2023_wet,474.3,4.35,2063.4,Grade B
Osun,Osun-LGA-05,cassava,2022_wet,721.8,7.16,5167.6,Grade B
FCT,FCT-LGA-01,millet,2022_wet,100.0,1.59,158.6,Grade C
Cross River,Cross River-LGA-02,maize,2023_dry,100.0,3.24,323.8,Grade B
Anambra,Anambra-LGA-08,sorghum,2025_wet,166.8,1.53,255.5,Grade A
Borno,Borno-LGA-07,yam,2023_dry,307.2,5.0,1536.2,Grade B
Edo,Edo-LGA-05,cassava,2022_wet,150.9,11.28,1702.2,Grade B
Kogi,Kogi-LGA-05,millet,2024_dry,296.5,0.97,286.4,Grade B
Yobe,Yobe-LGA-11,sorghum,2023_wet,250.3,0.35,87.7,Grade A
Oyo,Oyo-LGA-10,sorghum,2025_wet,500.2,1.71,854.1,Grade C
Rivers,Rivers-LGA-10,oil_palm,2023_dry,100.0,4.95,495.4,Grade A
Anambra,Anambra-LGA-13,sorghum,2024_dry,100.0,1.03,102.8,Grade B
Kano,Kano-LGA-03,cassava,2024_wet,100.0,11.16,1116.3,Grade B
Borno,Borno-LGA-06,yam,2023_dry,1985.7,5.0,9928.6,Grade A
Osun,Osun-LGA-07,cassava,2024_wet,1287.7,10.06,12957.8,Grade A
FCT,FCT-LGA-08,sorghum,2022_dry,447.3,1.63,729.0,Grade C
Ondo,Ondo-LGA-08,cassava,2022_dry,100.0,10.35,1034.8,Grade A
Lagos,Lagos-LGA-02,cassava,2022_dry,501.6,12.33,6186.9,Grade A
Akwa Ibom,Akwa Ibom-LGA-13,maize,2022_dry,15610.0,3.27,51099.8,Grade B
Yobe,Yobe-LGA-12,cocoa,2022_dry,687.8,0.27,187.2,Grade B
Plateau,Plateau-LGA-06,maize,2023_dry,585.9,0.5,292.9,Grade B
Plateau,Plateau-LGA-14,cassava,2023_wet,4086.5,9.61,39275.8,Grade A
Ebonyi,Ebonyi-LGA-12,millet,2024_wet,100.0,0.86,86.0,Grade C
Anambra,Anambra-LGA-05,cassava,2022_dry,100.0,9.38,938.3,Grade A
Yobe,Yobe-LGA-02,yam,2024_dry,566.0,11.46,6483.3,Grade B
Niger,Niger-LGA-11,maize,2023_dry,100.0,2.46,246.4,Grade A
Lagos,Lagos-LGA-12,cassava,2022_dry,100.0,8.41,841.4,Grade B
Jigawa,Jigawa-LGA-13,oil_palm,2023_dry,739.7,2.91,2148.8,Grade A
Lagos,Lagos-LGA-14,sorghum,2023_wet,608.7,1.96,1191.8,Grade A
Delta,Delta-LGA-05,sorghum,2023_wet,1807.7,1.65,2979.0,Grade B
Imo,Imo-LGA-11,sorghum,2022_wet,2273.5,1.82,4147.0,Grade B
Ekiti,Ekiti-LGA-10,rice,2025_wet,1438.7,3.76,5415.9,Grade B
Akwa Ibom,Akwa Ibom-LGA-05,cocoa,2023_wet,360.0,0.55,199.4,Grade C
Jigawa,Jigawa-LGA-04,cassava,2024_dry,4913.9,7.0,34416.7,Grade B
Kebbi,Kebbi-LGA-10,rice,2023_dry,520.7,2.98,1551.9,Grade B
Abia,Abia-LGA-01,sorghum,2022_wet,253.8,1.81,459.4,Grade A
Bayelsa,Bayelsa-LGA-04,maize,2022_wet,100.0,2.5,249.9,Grade C
Ebonyi,Ebonyi-LGA-03,cocoa,2022_dry,100.0,0.59,58.6,Grade B
Benue,Benue-LGA-04,sorghum,2023_dry,119.1,1.33,158.0,Grade A
Kwara,Kwara-LGA-02,cocoa,2023_dry,423.6,0.43,181.6,Grade C
