state,crop,avg_yield_t_ha,median_yield_t_ha,total_production_t,records,avg_grade_score,state_rank
Benue,cassava,9.462288659793815,9.44,5646431.1,485,2.0597938144329895,2.0
Benue,oil_palm,3.491302521008403,3.43,2220763.8,476,2.0945378151260505,3.0
Benue,rice,2.874279661016949,2.87,1884080.5,472,2.0360169491525424,4.0
Benue,maize,2.131186440677966,2.13,1342259.5,472,2.1546610169491527,5.0
Benue,sorghum,1.3736936936936937,1.37,756298.3,444,2.108108108108108,6.0
Benue,millet,1.238283261802575,1.225,656566.6,466,2.1266094420600856,7.0
Benue,cocoa,0.4005421686746988,0.39,229137.2,498,2.0943775100401605,8.0
Borno,yam,5.655538793103449,5.0,3240433.1,464,2.0883620689655173,1.0
Borno,cassava,4.5900432900432895,4.0,2988275.3,462,2.0974025974025974,2.0
Borno,oil_palm,1.6355603448275862,1.475,950243.0,464,2.064655172413793,3.0
Borno,rice,1.3545859872611465,1.09,709940.7,471,2.097664543524416,4.0
Borno,maize,0.9333193277310924,0.82,523787.9,476,2.100840336134454,5.0
Borno,millet,0.5510021321961621,0.5,417722.1,469,2.098081023454158,6.0
Borno,sorghum,0.6424903474903475,0.56,395898.9,518,2.055984555984556,7.0
Borno,cocoa,0.1903921568627451,0.15,91725.3,459,2.1459694989106755,8.0
Cross River,yam,11.918949579831933,11.945,6119933.6,476,2.0546218487394956,1.0
Cross River,cassava,10.322556701030926,10.22,5844332.0,485,2.1030927835051547,2.0
Cross River,oil_palm,3.85515923566879,3.84,2418969.0,471,2.082802547770701,3.0
Cross River,rice,3.0676906779661017,3.08,2024333.7,472,2.0635593220338984,4.0
Cross River,maize,2.3113441955193483,2.33,1977462.0,491,2.085539714867617,5.0
Cross River,sorghum,1.5124070021881837,1.53,908257.2,457,2.072210065645514,6.0
Cross River,millet,1.3066315789473684,1.31,813642.8,475,2.1621052631578945,7.0
Cross River,cocoa,0.4275109170305677,0.43,224110.0,458,2.1353711790393013,8.0
Delta,cassava,10.483480885311872,10.6,7049059.2,497,2.1006036217303823,1.0
Delta,yam,12.205961538461539,12.215,6938105.7,468,2.1025641025641026,2.0
Delta,oil_palm,3.8742622950819676,3.885,2304826.9,488,2.0655737704918034,3.0
Delta,rice,3.0131130063965887,3.03,1684732.3,469,2.1535181236673773,4.0
Delta,maize,2.308805031446541,2.33,1142169.8,477,2.056603773584906,5.0
Delta,sorghum,1.539958158995816,1.55,861130.4,478,2.096234309623431,6.0
Delta,millet,1.3512606837606838,1.355,625734.6,468,2.128205128205128,7.0
Delta,cocoa,0.4363913043478261,0.435,252220.3,460,2.108695652173913,8.0
Ebonyi,yam,12.102415254237288,12.14,5906737.8,472,2.167372881355932,1.0
Ebonyi,cassava,10.357894736842105,10.33,5660275.7,475,2.0673684210526315,2.0
Ebonyi,oil_palm,3.845740365111562,3.84,2526312.9,493,2.050709939148073,3.0
Ebonyi,rice,3.1203420523138834,3.14,2085607.4,497,2.134808853118712,4.0
Ebonyi,maize,2.303850931677019,2.32,1408781.0,483,2.091097308488613,5.0
Ebonyi,sorghum,1.539426877470356,1.5150000000000001,893347.1,506,2.0019762845849804,6.0
Ebonyi,millet,1.3016519823788548,1.29,729138.2,454,2.16079295154185,7.0
Ebonyi,cocoa,0.43129670329670333,0.43,236731.6,455,2.0681318681318683,8.0
Edo,cassava,10.339704142011833,10.39,6457497.6,507,2.1420118343195265,1.0
Edo,yam,12.034055793991415,12.19,5953369.2,466,2.152360515021459,2.0
Edo,oil_palm,3.8115524193548387,3.79,2499818.3,496,2.094758064516129,3.0
Edo,rice,3.0742710472279264,3.11,1921279.1,487,2.1437371663244353,4.0
Edo,maize,2.3602819956616052,2.36,1365571.0,461,2.06941431670282,5.0
Edo,sorghum,1.5392887931034482,1.52,943158.2999999999,464,2.0991379310344827,6.0
Edo,millet,1.3351612903225807,1.34,772561.6,496,2.096774193548387,7.0
Edo,cocoa,0.44323353293413176,0.44,312562.3,501,2.1077844311377247,8.0
Ekiti,yam,12.153926247288503,12.1,7490403.4,461,2.119305856832972,1.0
Ekiti,cassava,10.540284463894967,10.68,6022862.4,457,2.0809628008752736,2.0
Ekiti,oil_palm,3.8866666666666663,3.87,2098734.4,480,2.1375,3.0
Ekiti,rice,3.095116772823779,3.08,1805784.7,471,2.08067940552017,4.0
Ekiti,maize,2.289116465863454,2.29,1191735.1,498,2.1265060240963853,5.0
Ekiti,sorghum,1.5855447470817121,1.59,1121693.0,514,2.0719844357976656,6.0
Ekiti,millet,1.305557939914163,1.3,706744.5,466,2.1459227467811157,7.0
Ekiti,cocoa,0.4414437367303609,0.44,253858.3,471,2.129511677282378,8.0
Enugu,yam,12.233831168831168,12.31,6676918.0,462,2.101731601731602,1.0
Enugu,cassava,10.390635964912281,10.46,5816330.0,456,2.1052631578947367,2.0
Enugu,oil_palm,3.9717034068136274,3.97,2232405.9,499,2.132264529058116,3.0
Enugu,rice,3.056045081967213,3.05,1752216.5,488,2.0881147540983607,4.0
Enugu,maize,2.296901408450704,2.26,1456006.9,497,2.096579476861167,5.0
Enugu,sorghum,1.5067281105990782,1.4849999999999999,942670.1,434,2.119815668202765,6.0
Enugu,millet,1.3451508620689654,1.3450000000000002,820180.9,464,2.084051724137931,7.0
Enugu,cocoa,0.4468253968253968,0.45,299543.1,504,2.142857142857143,8.0
FCT,yam,11.028041666666667,10.96,7129713.1,480,2.1479166666666667,1.0
FCT,cassava,9.60550755939525,9.65,5393778.0,463,2.0928725701943844,2.0
FCT,oil_palm,3.47059670781893,3.48,1957598.7,486,2.0534979423868314,3.0
FCT,rice,2.7569135802469136,2.7350000000000003,1651891.9,486,2.078189300411523,4.0
FCT,maize,2.104979166666667,2.1,1187967.4,480,2.0541666666666667,5.0
FCT,sorghum,1.4108951965065502,1.415,833573.7,458,2.106986899563319,6.0
FCT,millet,1.1755555555555555,1.18,597175.3,468,2.072649572649573,7.0
FCT,cocoa,0.41024070021881837,0.41,242865.80000000002,457,2.1094091903719914,8.0
Gombe,yam,11.31838775510204,11.33,7698178.7,490,2.073469387755102,1.0
Gombe,cassava,9.479305263157896,9.61,5047005.2,475,2.1452631578947368,2.0
Gombe,oil_palm,3.510518962075848,3.51,2216357.6,501,2.117764471057884,3.0
Gombe,rice,2.836645299145299,2.815,1479711.4,468,2.0876068376068377,4.0
Gombe,maize,2.106551020408163,2.11,1046728.4,490,2.0877551020408163,5.0
Gombe,sorghum,1.3897732426303855,1.34,853364.6,441,2.122448979591837,6.0
Gombe,millet,1.21895966029724,1.23,769043.6,471,2.1146496815286624,7.0
Gombe,cocoa,0.4149784482758621,0.41,224375.0,464,2.1336206896551726,8.0
Imo,yam,11.97852390852391,12.08,6631038.0,481,2.0914760914760913,1.0
Imo,cassava,10.409722814498934,10.43,5560513.1,469,2.1108742004264394,2.0
Imo,oil_palm,3.8632815533980582,3.87,2290400.4,515,2.0699029126213593,3.0
Imo,rice,3.1043254817987154,3.1,1771179.3,467,2.113490364025696,4.0
Imo,maize,2.3435201793721974,2.3,1194383.7,446,2.1390134529147984,5.0
Imo,sorghum,1.5449773755656109,1.54,798076.0,442,2.1040723981900453,6.0
Imo,millet,1.3008154506437768,1.29,696915.3,466,2.1030042918454934,7.0
Imo,cocoa,0.4381359649122807,0.44,248353.3,456,2.1140350877192984,8.0
Jigawa,yam,7.967816593886464,7.83,4034959.9,458,2.1528384279475983,1.0
Jigawa,cassava,6.889192546583851,6.82,3871830.3,483,2.1469979296066253,2.0
Jigawa,oil_palm,2.4520512820512823,2.4,1540457.5,507,2.1242603550295858,3.0
Jigawa,rice,2.002136363636364,1.995,1201285.5,440,2.0613636363636365,4.0
Jigawa,maize,1.4934560327198363,1.49,750258.4,489,2.1063394683026586,5.0
Jigawa,sorghum,1.0072345132743363,0.98,576956.9,452,2.017699115044248,6.0
Jigawa,millet,0.8883408071748878,0.87,553359.3,446,2.132286995515695,7.0
Jigawa,cocoa,0.29555066079295156,0.295,196405.4,454,2.105726872246696,8.0
Kaduna,yam,11.086781857451404,11.04,6017250.1,463,2.0691144708423326,1.0
Kaduna,cassava,9.538253638253638,9.5,5705986.6,481,2.1205821205821205,2.0
Kaduna,oil_palm,3.521803921568628,3.5,2142057.9,510,2.107843137254902,3.0
Kaduna,rice,2.8376651982378855,2.835,1786870.3,454,2.0770925110132157,4.0
Kaduna,maize,2.1403370786516853,2.15,1547772.2,445,2.10561797752809,5.0
Kaduna,millet,1.2200851063829787,1.25,734431.3,470,2.1,6.0
Kaduna,sorghum,1.3522150537634408,1.34,665782.3,465,2.075268817204301,7.0
Kaduna,cocoa,0.41215827338129496,0.4,214316.0,417,2.079136690647482,8.0
Kano,yam,9.319894736842105,9.3,6122672.7,475,2.1094736842105264,1.0
Kano,cassava,8.026659242761692,8.0,3628037.6,449,2.089086859688196,2.0
Kano,oil_palm,2.997816091954023,3.04,1701127.6,522,2.0842911877394634,3.0
Kano,rice,2.357442348008386,2.33,1537854.4,477,2.106918238993711,4.0
Kano,maize,1.8130280373831775,1.78,1217729.5,535,2.127102803738318,5.0
Kano,sorghum,1.1938900634249472,1.2,663562.9,473,2.080338266384778,6.0
Kano,millet,1.0147131147540984,1.02,645002.7,488,2.122950819672131,7.0
Kano,cocoa,0.34920258620689654,0.34,179658.8,464,2.1077586206896552,8.0
Katsina,yam,7.895731707317073,7.805,5490013.9,492,2.136178861788618,1.0
Katsina,cassava,6.807967806841046,6.71,4226551.5,497,2.052313883299799,2.0
Katsina,oil_palm,2.534928716904277,2.54,1319107.8,491,2.1079429735234214,3.0
Katsina,rice,2.0636324786324787,2.01,1183817.0,468,2.0405982905982905,4.0
Katsina,maize,1.4848034934497816,1.48,823659.9,458,2.1331877729257642,5.0
Katsina,millet,0.8970913461538461,0.88,491154.0,416,2.081730769230769,6.0
Katsina,sorghum,1.0419690265486725,1.025,487553.4,452,2.1106194690265485,7.0
Katsina,cocoa,0.2972463768115942,0.29,198990.5,483,2.109730848861284,8.0
Kebbi,yam,9.489370786516854,9.52,6339005.0,445,2.0831460674157305,1.0
Kebbi,cassava,8.15917004048583,8.114999999999998,4442609.5,494,2.168016194331984,2.0
Kebbi,oil_palm,2.995679012345679,2.97,2423227.2,486,2.119341563786008,3.0
Kebbi,rice,2.3141719077568133,2.27,1148675.1,477,2.109014675052411,4.0
Kebbi,maize,1.8266045548654244,1.82,1030858.3,483,2.109730848861284,5.0
Kebbi,sorghum,1.2444560669456068,1.275,846234.4,478,2.1317991631799162,6.0
Kebbi,millet,1.025532879818594,1.03,558070.8,441,2.0453514739229024,7.0
Kebbi,cocoa,0.34819148936170213,0.35,210415.8,470,2.106382978723404,8.0
Kogi,cassava,9.44122105263158,9.41,6201022.0,475,2.1052631578947367,1.0
Kogi,yam,11.013100436681222,10.925,6178225.2,458,2.076419213973799,2.0
Kogi,oil_palm,3.5257952069716776,3.53,2375505.7,459,2.111111111111111,3.0
Kogi,rice,2.7871604938271606,2.84,1396606.7,486,2.0843621399176953,4.0
Kogi,maize,2.081301518438178,2.08,1175414.6,461,2.0759219088937093,5.0
Kogi,millet,1.1975720164609054,1.17,856433.2,486,2.090534979423868,6.0
Kogi,sorghum,1.4022396856581532,1.39,811604.3,509,2.0707269155206287,7.0
Kogi,cocoa,0.4014861995753715,0.4,233041.1,471,2.1082802547770703,8.0
Kwara,yam,11.054085365853657,11.195,7401393.9,492,2.1097560975609757,1.0
Kwara,cassava,9.487658227848101,9.68,5247752.1,474,2.151898734177215,2.0
Kwara,oil_palm,3.4618526315789477,3.49,1711430.8,475,2.166315789473684,3.0
Kwara,rice,2.8172515856236786,2.81,1549043.0,473,2.0866807610993656,4.0
Kwara,maize,2.1384154175588863,2.17,1073278.0,467,2.1670235546038543,5.0
Kwara,millet,1.21125,1.18,833151.1,520,2.1346153846153846,6.0
Kwara,sorghum,1.4085101580135442,1.38,826955.2,443,2.0970654627539504,7.0
Kwara,cocoa,0.3994685039370079,0.41,236397.5,508,2.0846456692913384,8.0
Lagos,yam,12.037330316742082,11.995000000000001,6261135.9,442,2.1244343891402715,1.0
Lagos,cassava,10.4986,10.515,5946651.9,450,2.077777777777778,2.0
Lagos,oil_palm,3.91021186440678,3.91,2465935.2,472,2.125,3.0
Lagos,rice,3.0567303609341825,2.99,1888976.4,471,2.097664543524416,4.0
Lagos,maize,2.3298689956331877,2.31,1430392.0,458,2.126637554585153,5.0
Lagos,sorghum,1.563896103896104,1.5550000000000002,924215.4,462,2.155844155844156,6.0
Lagos,millet,1.2919512195121952,1.29,913780.3,492,2.0995934959349594,7.0
Lagos,cocoa,0.43821826280623605,0.44,251886.5,449,2.0779510022271714,8.0
Nasarawa,yam,11.129019189765458,11.1,6275391.2,469,2.0810234541577826,1.0
Nasarawa,cassava,9.53195652173913,9.54,4340645.3,460,2.108695652173913,2.0
Nasarawa,oil_palm,3.413165322580645,3.395,2116864.2,496,2.1391129032258065,3.0
Nasarawa,rice,2.83588693957115,2.86,1931939.7,513,2.142300194931774,4.0
Nasarawa,maize,2.0806276150627614,2.04,1522562.7,478,2.192468619246862,5.0
Nasarawa,millet,1.2154088050314464,1.22,811777.0,477,2.142557651991614,6.0
Nasarawa,sorghum,1.3940527577937651,1.39,731115.2,417,2.13189448441247,7.0
Nasarawa,cocoa,0.40814814814814815,0.41,253957.0,459,2.082788671023965,8.0
Niger,cassava,9.453004291845494,9.49,5957212.2,466,2.1201716738197427,1.0
Niger,yam,11.09982800982801,11.0,5468171.5,407,2.081081081081081,2.0
Niger,rice,2.7595588235294115,2.78,1783845.1,476,2.138655462184874,3.0
Niger,oil_palm,3.4740857787810384,3.45,1658024.1,443,2.126410835214447,4.0
Niger,maize,2.0918574514038877,2.07,1254065.6,463,2.077753779697624,5.0
Niger,millet,1.1921729957805909,1.19,771378.9,474,2.0843881856540083,6.0
Niger,sorghum,1.3789140271493212,1.38,734158.5,442,2.1199095022624435,7.0
Niger,cocoa,0.397,0.4,199531.7,460,2.0608695652173914,8.0
Ogun,yam,12.087152034261242,12.11,6300513.2,467,2.109207708779443,1.0
Ogun,cassava,10.585131313131313,10.67,6000211.2,495,2.1232323232323234,2.0
Ogun,oil_palm,3.923275862068966,3.91,2400272.2,464,2.0926724137931036,3.0
Ogun,rice,3.091172707889126,3.07,1887277.2,469,2.1087420042643923,4.0
Ogun,maize,2.2996312364425164,2.28,1456568.0,461,2.10412147505423,5.0
Ogun,sorghum,1.541046277665996,1.54,987629.3,497,2.1207243460764587,6.0
Ogun,millet,1.30853228962818,1.31,788110.7,511,2.11545988258317,7.0
Ogun,cocoa,0.44721238938053093,0.44,209696.8,452,2.066371681415929,8.0
Ondo,yam,11.918893805309734,11.91,7835206.6,452,2.1261061946902653,1.0
Ondo,cassava,10.422516703786192,10.41,6093685.6,449,2.1425389755011137,2.0
Ondo,oil_palm,3.8028506787330314,3.82,1821314.0,442,2.088235294117647,3.0
Ondo,rice,3.049353448275862,3.03,1677289.5,464,2.127155172413793,4.0
Ondo,maize,2.2772083333333333,2.295,1225172.0,480,2.0541666666666667,5.0
Ondo,sorghum,1.4766805845511484,1.5,927595.9,479,2.1002087682672235,6.0
Ondo,millet,1.3085874439461884,1.3050000000000002,824945.2,446,2.1457399103139014,7.0
Ondo,cocoa,0.44484407484407484,0.45,341293.2,481,2.135135135135135,8.0
Osun,yam,12.172809734513274,12.24,6347956.0,452,2.1526548672566372,1.0
Osun,cassava,10.555271629778673,10.64,6028801.7,497,2.074446680080483,2.0
Osun,oil_palm,3.8635699797160243,3.88,2338725.8,493,2.1156186612576064,3.0
Osun,rice,3.044524886877828,3.005,1536622.1,442,2.063348416289593,4.0
Osun,maize,2.281970338983051,2.28,1529264.4,472,2.1038135593220337,5.0
Osun,millet,1.3589375,1.37,939038.6,480,2.1020833333333333,6.0
Osun,sorghum,1.5187606837606837,1.52,889357.8,468,2.0876068376068377,7.0
Osun,cocoa,0.4422601279317697,0.45,263321.4,469,2.115138592750533,8.0
Oyo,yam,12.13909853249476,12.13,7652375.9,477,2.0754716981132075,1.0
Oyo,cassava,10.61535019455253,10.58,6752891.6,514,2.075875486381323,2.0
Oyo,oil_palm,3.801703539823009,3.86,2152201.6,452,2.1084070796460175,3.0
Oyo,rice,3.0744201312910286,3.09,2052232.4,457,2.1203501094091903,4.0
Oyo,maize,2.3087083333333336,2.32,1412263.4,480,2.0791666666666666,5.0
Oyo,sorghum,1.524904214559387,1.53,963233.8,522,2.1379310344827585,6.0
Oyo,millet,1.3302972399150743,1.3,798976.9,471,2.082802547770701,7.0
Oyo,cocoa,0.43995495495495496,0.44,224693.7,444,2.0945945945945947,8.0
Plateau,yam,11.088467908902691,11.16,6287339.6,483,2.1262939958592133,1.0
Plateau,cassava,9.520000000000001,9.47,5058390.3,457,2.1531728665207877,2.0
Plateau,oil_palm,3.456757322175732,3.44,1797143.3,478,2.1548117154811717,3.0
Plateau,rice,2.8175770925110135,2.8099999999999996,1697673.1,454,2.105726872246696,4.0
Plateau,maize,2.097357293868922,2.11,1248704.3,473,2.1035940803382664,5.0
Plateau,sorghum,1.37987525987526,1.39,767297.0,481,2.135135135135135,6.0
Plateau,millet,1.211021739130435,1.2149999999999999,721463.8,460,2.110869565217391,7.0
Plateau,cocoa,0.3980618556701031,0.4,185808.7,485,2.111340206185567,8.0
Rivers,yam,11.996382113821138,12.035,10437644.7,492,2.1483739837398375,1.0
Rivers,cassava,10.45114822546973,10.42,6634270.9,479,2.1106471816283925,2.0
Rivers,oil_palm,3.888936170212766,3.87,2488996.3,517,2.0754352030947776,3.0
Rivers,rice,3.095574837310195,3.06,1781167.1,461,2.0845986984815617,4.0
Rivers,maize,2.3109072164948454,2.33,1390698.2,485,2.063917525773196,5.0
Rivers,millet,1.3550398406374502,1.37,886695.5,502,2.1195219123505975,6.0
Rivers,sorghum,1.5030872483221476,1.49,818380.2,447,2.0559284116331096,7.0
Rivers,cocoa,0.4424663677130045,0.445,279460.8,446,2.1367713004484306,8.0
Sokoto,yam,9.498642447418739,9.35,4675313.9,523,2.0707456978967493,1.0
Sokoto,cassava,8.113728070175439,8.075,4339711.1,456,2.0526315789473686,2.0
Sokoto,oil_palm,2.9663522012578616,2.93,1629613.4,477,2.048218029350105,3.0
Sokoto,rice,2.3846466809421845,2.39,1385603.2,467,2.057815845824411,4.0
Sokoto,maize,1.7593459915611813,1.755,936295.7,474,2.1033755274261603,5.0
Sokoto,sorghum,1.1910677618069814,1.18,715256.5,487,2.13347022587269,6.0
Sokoto,millet,1.0084521384928717,1.0,640240.4,491,2.1221995926680246,7.0
Sokoto,cocoa,0.3438934426229508,0.34,202529.9,488,2.112704918032787,8.0
Taraba,yam,11.11019955654102,11.03,5694557.2,451,2.1352549889135255,1.0
Taraba,cassava,9.4501797752809,9.38,5561475.0,445,2.143820224719101,2.0
Taraba,oil_palm,3.5163900414937763,3.51,1978045.4,482,2.1182572614107884,3.0
Taraba,rice,2.817396963123644,2.83,1814702.2,461,2.0780911062906724,4.0
Taraba,maize,2.079907192575406,2.08,1185196.7,431,2.1183294663573085,5.0
Taraba,sorghum,1.4084233261339094,1.39,741553.3,463,2.0907127429805614,6.0
Taraba,millet,1.1830493273542602,1.18,633130.8,446,2.1121076233183858,7.0
Taraba,cocoa,0.40586912065439673,0.41,284841.3,489,2.0736196319018405,8.0
Yobe,yam,5.965668103448277,5.075,3198991.0,464,2.0969827586206895,1.0
Yobe,cassava,4.989232283464568,4.41,2776788.5,508,2.1338582677165356,2.0
Yobe,oil_palm,1.7998471615720526,1.6150000000000002,1084521.3,458,2.0829694323144103,3.0
Yobe,rice,1.536,1.37,944233.8,515,2.1262135922330097,4.0
Yobe,maize,1.0052104208416834,0.88,707333.9,499,2.1122244488977957,5.0
Yobe,sorghum,0.7251619870410367,0.66,436513.8,463,2.123110151187905,6.0
Yobe,millet,0.6125105485232067,0.54,402050.9,474,2.071729957805907,7.0
Yobe,cocoa,0.2056687898089172,0.18,98291.1,471,2.1316348195329087,8.0
Zamfara,yam,7.735550935550936,7.53,4375267.5,481,2.043659043659044,1.0
Zamfara,cassava,6.607547169811321,6.54,3613276.6,477,2.1278825995807127,2.0
Zamfara,rice,2.0302448979591836,1.97,1332739.5,490,2.059183673469388,3.0
Zamfara,oil_palm,2.46119733924612,2.47,1297330.0,451,2.073170731707317,4.0
Zamfara,maize,1.4716417910447763,1.49,769719.4,469,2.159914712153518,5.0
Zamfara,sorghum,0.975050709939148,0.96,500074.9,493,2.099391480730223,6.0
Zamfara,millet,0.8378512396694214,0.81,441011.9,484,2.1136363636363638,7.0
Zamfara,cocoa,0.2747239263803681,0.26,186252.7,489,2.104294478527607,8.0
